Team,Tournament,Score,PlayedGames,WonGames,DrawnGames,LostGames,BasketScored,BasketGiven,TournamentChampion,Runner-up,TeamLaunch,HighestPositionHeld
Team 1,86,4385,2762,1647,552,563,5947,3140,33,23,1929,1
Team 2,86,4262,2762,1581,573,608,5900,3114,25,25,1929,1
Team 3,80,3442,2614,1241,598,775,4534,3309,10,8,1929,1
Team 4,82,3386,2664,1187,616,861,4398,3469,6,6,1931,1
Team 5,86,3368,2762,1209,633,920,4631,3700,8,7,1929,1
Team 6,73,2819,2408,990,531,887,3680,3373,1,4,1934,1
Team 7,82,2792,2626,948,608,1070,3609,3889,0,0,1929,3
Team 8,70,2573,2302,864,577,861,3228,3230,2,3,1929,1
Team 9,58,2109,1986,698,522,766,2683,2847,0,1,1939,2
Team 10,51,1884,1728,606,440,682,2159,2492,1,0,1932,1
Team 11,45,1814,1530,563,392,575,2052,2188,1,5,1941,1
Team 12,51,1789,1698,586,389,723,2278,2624,0,0,1939,4
Team 13,42,1471,1466,463,384,619,1767,2180,0,0,1948,4
Team 14,44,1416,1428,453,336,639,1843,2368,0,1,1929,2
Team 15,43,1389,1458,471,358,629,1753,2152,0,1,1944,2
Team 16,37,1351,1318,426,327,565,1500,1834,0,0,1935,4
Team 17,36,1314,1255,390,330,535,1421,1763,0,0,1949,4
Team 18,38,1174,1192,408,292,492,1642,1951,0,0,1933,3
Team 19,27,1148,988,333,256,399,1182,1371,0,0,1960,3
Team 20,33,1020,1096,367,242,487,1347,1746,0,1,1951,2
Team 21,17,970,646,266,172,208,892,789,0,1,1998,2
Team 22,23,667,742,218,175,349,819,1157,0,0,1941,6
Team 23,17,662,652,189,148,305,760,1088,0,0,1977,8
Team 24,21,606,678,203,180,295,750,1022,0,0,1959,5
Team 25,12,553,456,147,112,197,520,633,0,0,2004,6
Team 26,20,538,628,184,149,295,716,1050,0,0,1935,5
Team 27,13,510,494,155,128,211,619,744,0,0,1961,5
Team 28,18,445,586,145,143,298,607,992,0,0,1940,11
Team 29,12,421,380,125,81,174,458,623,0,0,1930,6
Team 30,11,416,402,113,95,194,430,632,0,0,1963,6
Team 31,12,375,423,123,102,198,422,581,0,0,1974,7
Team 32,14,353,426,129,95,202,492,720,0,0,1943,4
Team 33,12,343,448,104,127,217,393,662,0,0,1977,12
Team 34,9,293,346,96,92,158,291,489,0,0,1987,7
Team 35,11,285,334,103,79,152,419,588,0,0,1941,4
Team 36,7,277,270,76,76,118,320,410,0,0,1991,7
Team 37,6,242,228,62,56,110,244,366,0,0,2007,8
Team 38,9,230,282,82,63,137,285,430,0,0,1962,5
Team 39,4,190,160,52,45,63,199,241,0,0,1994,10
Team 40,5,188,186,50,46,90,202,296,0,0,1978,8
Team 41,6,168,204,59,50,95,216,310,0,0,1971,12
Team 42,6,150,180,53,44,83,165,221,0,0,1963,7
Team 43,4,148,152,37,37,78,155,253,0,0,1999,17
Team 44,3,132,114,35,27,52,139,167,0,0,2014,10
Team 45,7,107,130,43,21,66,227,308,0,0,1929,3
Team 46,3,96,114,26,44,44,101,139,0,0,1990,9
Team 47,4,91,116,34,16,66,181,295,0,0,1947,7
Team 48,2,83,80,20,23,37,62,117,0,0,1996,17
Team 49,2,81,80,19,24,37,70,115,0,0,1995,19
Team 50,4,76,108,30,16,62,145,252,0,0,1945,10
Team 51,3,71,90,29,13,48,121,183,0,0,1953,14
Team 52,4,56,72,21,14,37,153,184,0,0,1929,6
Team 53,2,52,68,17,18,33,71,116,0,0,1979,10
Team 54,3,42,54,18,6,30,97,131,0,0,1929,8
Team 55,2,40,68,13,14,41,70,182,0,0,1950,16
Team 56,1,35,38,8,11,19,36,55,0,0,2016,17
Team 57,1,34,38,8,10,20,38,66,0,0,2009,20
Team 58,1,22,30,7,8,15,37,57,0,0,1956,16
Team 59,1,19,30,7,5,18,51,85,0,0,1951,16
Team 60,1,14,30,5,4,21,34,65,0,0,1955,15
Team 61,1,0,0,0,0,0,0,0,0,0,2017,9
